borough,band_a,band_b,band_c,band_d,band_e,band_f,band_g,band_h,year
Barking and Dagenham,1263,1474,1685,1896,2318,2740,3162,3792,2024
Barnet,1156,1348,1541,1734,2120,2506,2891,3470,2024
Bexley,1358,1585,1812,2039,2493,2947,3401,4082,2024
Brent,1405,1639,1874,2108,2577,3046,3515,4218,2024
Bromley,1226,1431,1635,1840,2249,2658,3067,3681,2024
Camden,1291,1506,1721,1937,2367,2798,3228,3874,2024
City of London,770,898,1026,1155,1411,1668,1925,2310,2024
Croydon,1480,1727,1973,2220,2714,3208,3702,4440,2024
Ealing,1232,1437,1642,1848,2259,2670,3082,3697,2024
Enfield,1467,1712,1956,2201,2690,3178,3668,4401,2024
Greenwich,1326,1546,1767,1988,2430,2872,3315,3977,2024
Hackney,1193,1392,1591,1790,2189,2587,2986,3582,2024
Hammersmith and Fulham,873,1018,1163,1309,1600,1891,2182,2618,2024
Haringey,1443,1683,1924,2164,2645,3126,3608,4329,2024
Harrow,1430,1668,1907,2145,2622,3100,3577,4292,2024
Havering,1407,1641,1876,2110,2579,3048,3517,4220,2024
Hillingdon,1286,1500,1715,1929,2358,2788,3217,3860,2024
Hounslow,1296,1512,1728,1945,2377,2810,3242,3890,2024
Islington,1220,1424,1627,1831,2238,2646,3053,3664,2024
Kensington and Chelsea,1014,1182,1352,1520,1857,2195,2533,3040,2024
Kingston upon Thames,1547,1804,2062,2320,2836,3351,3867,4640,2024
Lambeth,1236,1442,1648,1854,2266,2679,3091,3709,2024
Lewisham,1337,1560,1783,2006,2451,2897,3343,4012,2024
Merton,1404,1638,1873,2107,2576,3044,3512,4215,2024
Newham,1214,1416,1618,1820,2225,2631,3036,3643,2024
Redbridge,1326,1547,1767,1988,2430,2872,3314,3977,2024
Richmond upon Thames,1560,1820,2080,2340,2861,3382,3903,4683,2024
Southwark,1193,1391,1590,1789,2187,2585,2983,3580,2024
Sutton,1439,1679,1919,2159,2638,3118,3597,4317,2024
Tower Hamlets,1239,1446,1652,1859,2271,2684,3097,3717,2024
Waltham Forest,1422,1659,1896,2133,2608,3082,3556,4267,2024
Wandsworth,605,706,807,908,1109,1310,1511,1814,2024
Westminster,613,716,817,920,1124,1329,1534,1840,2024
